CID,Category,SubCategory,HeelHeight,Insole,Closure,Gender,Material,ToeStyle,ClassicCasual
100627-72,Shoes,Oxfords,,Leather,Lace up,Men,Leather,Capped Toe;Round Toe,1
100627-255,Shoes,Oxfords,,Leather,Lace up,Men,Leather,Capped Toe;Round Toe,1
100657-72,Shoes,Oxfords,,Leather;Padded;Removable,Lace up,Men,Leather,Capped Toe;Round Toe,1
100657-216,Shoes,Oxfords,,Leather;Padded;Removable,Lace up,Men,Leather,Capped Toe;Round Toe,1
101026-3,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Men,Leather;Rubber,Square Toe;Closed Toe,1
101175-325,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Men,Leather;Neoprene,Square Toe,1
101175-598,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Men,Leather;Neoprene,Square Toe,1
101178-68022,Boots,Ankle,,Leather,Pull-on,Men,Leather;Neoprene;Rubber;Suede,Round Toe;Square Toe,1
101178-238499,Boots,Ankle,,Leather,Pull-on,Men,Leather;Neoprene;Rubber;Suede,Round Toe;Square Toe,1
101238-72,Shoes,Oxfords,,EVA;Removable,Hook and Loop,Men,Leather,Moc Toe,1
101238-650,Shoes,Oxfords,,EVA;Removable,Hook and Loop,Men,Leather,Moc Toe,1
101238-665,Shoes,Oxfords,,EVA;Removable,Hook and Loop,Men,Leather,Moc Toe,1
101416-325,Shoes,Loafers,,Padded,Slip-On,Men,Leather,Moc Toe,1
101514-3,Boots,Ankle,,Padded,Zipper,Men,Leather,Bicycle Toe,1
102170-3,Shoes,Oxfords,1in - 1 3/4in,Padded,Lace up,Men,Leather,Capped Toe,1
102170-72,Shoes,Oxfords,1in - 1 3/4in,Leather;Padded,,Men,Leather,Capped Toe,1
102170-216,Shoes,Oxfords,1in - 1 3/4in,Leather;Padded,,Men,Leather,Capped Toe,1
102170-310,Shoes,Oxfords,1in - 1 3/4in,Leather;Padded,,Men,Leather,Capped Toe,1
102170-8957,Shoes,Oxfords,1in - 1 3/4in,Padded,Lace up,Men,Leather,Capped Toe,1
102170-87140,Shoes,Oxfords,1in - 1 3/4in,Padded,Lace up,Men,Leather,Capped Toe,1
102170-87141,Shoes,Oxfords,1in - 1 3/4in,Padded,Lace up,Men,Leather,Capped Toe,1
102170-87144,Shoes,Oxfords,1in - 1 3/4in,Padded,Lace up,Men,Leather,Capped Toe,1
102170-116346,Shoes,Oxfords,1in - 1 3/4in,Leather;Padded,,Men,Leather,Capped Toe,1
102179-3,Boots,Ankle,,Padded,Lace up,Men,Leather,Capped Toe,1
102179-6,Boots,Ankle,,Padded,Lace up,Men,Leather,Capped Toe,1
102181-115,Shoes,Oxfords,,Padded,Lace up,Men,Leather,Wingtip,1
102420-3,Shoes,Oxfords,,Padded,Lace up,Men,Leather;Ostrich,Wingtip,1
103888-72,Shoes,Oxfords,,Leather;Moisture Wicking;Padded;Removable,Lace up,Men,Leather,Moc Toe;Round Toe;Closed Toe,1
103888-609,Shoes,Oxfords,,Leather;Moisture Wicking;Padded;Removable,Lace up,Men,Leather,Round Toe;Closed Toe,1
103900-1201,Shoes,Oxfords,Flat,Moisture Wicking;Removable,Lace up,Men,Leather;Nubuck,Moc Toe;Round Toe;Closed Toe,1
103902-27143,Boots,Ankle,,Removable,Lace up,Men,Leather,Round Toe,1
104002-3,Shoes,Loafers,,Leather,Slip-On,Men,Leather,Moc Toe;Round Toe,1
104002-1257,Shoes,Loafers,,Leather,Slip-On,Men,Leather,Moc Toe;Round Toe,1
104010-1267,Shoes,Loafers,,Leather,Slip-On,Men,Leather,Moc Toe;Round Toe,1
104011-1269,Shoes,Loafers,,Leather,Slip-On,Men,Leather;Sheepskin,Moc Toe;Round Toe,1
104011-1270,Shoes,Loafers,,Leather,Slip-On,Men,Leather;Sheepskin,Moc Toe;Round Toe,1
104018-1277,Boots,Ankle,Flat,Leather,Zipper,Men,Leather;Rubber,,1
104025-1285,Shoes,Loafers,,Leather,Slip-On,Men,Leather,Round Toe;Wingtip,1
104025-1286,Shoes,Loafers,,Leather,Slip-On,Men,Leather,Round Toe;Wingtip,1
104027-1285,Shoes,Oxfords,1in - 1 3/4in,Leather;Padded;Removable,Lace up,Men,Leather,Capped Toe;Round Toe,1
104028-1285,Shoes,Oxfords,,Leather;Padded;Removable,Lace up,Men,Hair Calf;Leather,Capped Toe;Wingtip,1
104035-1292,Shoes,Oxfords,1in - 1 3/4in,Leather;Padded;Removable,Lace up,Men,Leather,Round Toe,1
104035-1293,Shoes,Oxfords,1in - 1 3/4in,Leather;Padded;Removable,Lace up,Men,Leather,Round Toe,1
104038-1288,Shoes,Loafers,,Leather,Slip-On,Men,Leather,Moc Toe;Round Toe,1
104042-1302,Shoes,Loafers,,Leather,Elastic Gore,Men,Leather,Moc Toe,1
104042-1303,Shoes,Loafers,,Leather,Elastic Gore,Men,Leather,Moc Toe,1
104042-1304,Shoes,Loafers,,Leather,Elastic Gore,Men,Leather,Moc Toe,1
104670-3,Shoes,Loafers,,Padded,Slip-On,Men,Full-grain leather,Moc Toe;Closed Toe,0
104670-1611,Shoes,Loafers,,Padded,Slip-On,Men,Full-grain leather,Moc Toe;Closed Toe,0
104670-1626,Shoes,Loafers,,Padded,Slip-On,Men,Full-grain leather,Moc Toe;Closed Toe,0
104676-9,Shoes,Boat Shoes,,Leather,Lace up,Men,Full-grain leather;Leather;Nubuck,Moc Toe,1
104676-617,Shoes,Boat Shoes,,Leather,Lace up,Men,Full-grain leather;Leather;Nubuck,Moc Toe,1
104676-189953,Shoes,Boat Shoes,,,Lace up,Men,Leather,Moc Toe,1
104678-1608,Shoes,Boat Shoes,,Padded,,Men,Leather,Moc Toe,1
104705-15,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather;Nubuck,,1
104705-72,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather;Nubuck,,1
104705-130551,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather;Nubuck,,1
104708-3,Boots,Ankle,,,Lace up,Men,Leather,Round Toe,1
104710-3,Shoes,Sneakers and Athletic Shoes,,EVA;Orthotic Friendly;Removable,Hook and Loop,Men,Full-grain leather;Leather,Moc Toe;Round Toe,1
104712-215,Shoes,Oxfords,,Removable,Lace up,Men,Leather,Round Toe,1
104712-835,Shoes,Oxfords,,Removable,Lace up,Men,Leather,Round Toe,1
104713-3,Sandals,Flat,,Leather;Padded,Hook and Loop,Men,Leather,,1
104713-6,Sandals,Flat,,Leather;Padded,Hook and Loop,Men,Leather,,1
105038-1670,Boots,Ankle,,,Lace up,Men,Full-grain leather;Leather;Suede,Round Toe,1
105197-20,Slippers,Slipper Flats,,Leather,,Men,Leather,,1
105197-72,Slippers,Slipper Flats,,Leather,,Men,Leather,,1
105210-464,Slippers,Slipper Flats,,Padded,,Men,Leather,,1
105214-3,Slippers,Slipper Flats,,Leather,,Men,Leather,,1
105214-6,Slippers,Slipper Flats,,Leather,,Men,Leather,,1
105436-2016,Shoes,Loafers,,Padded,,Men,Leather,,1
105698-465,Slippers,Slipper Flats,,Padded,Slip-On,Men,Deerskin,,1
105704-20,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Men,Leather;Rubber,Round Toe;Closed Toe,1
105989-72,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather;Suede,Moc Toe,1
105989-231,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather;Suede,Moc Toe,1
105989-691,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather;Suede,Moc Toe,1
105989-820,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather;Suede,Moc Toe,1
105989-2206,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather;Suede,Moc Toe,1
105989-2213,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather;Suede,Moc Toe,1
105989-7686,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather;Suede,Moc Toe,1
105989-227306,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather;Suede,Moc Toe,1
105989-246044,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather;Suede,Moc Toe,1
